flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBB611,ATR-42/72,2018-04-14,09:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 09:06,17,22,Despejado,21 - 26,4,2018-04-14,09:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 09:38,17,21,Nubes Altas,LLNT,4,2018-04-14 12:32:58
CNF418,ATR-72,2018-04-14,09:45,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 09:51,17,22,Despejado,13 - 13,4,2018-04-14,10:15,LA PALMA,SPC,N,El vuelo ha aterrizado a las 10:24,17,21,Nubes Altas,LLNT,2,2018-04-14 12:32:59
IBB659,ATR-42/72,2018-04-14,10:10,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 10:07,17,22,Despejado,21 - 26,1,2018-04-14,10:50,EL HIERRO,VDE,1,El vuelo ha aterrizado a las 10:50,12,20,Despejado,01,01,2018-04-14 13:33:45
AEA4064,ATR-72,2018-04-14,12:05,VALENCIA,VLC,1,El vuelo ha despegado a las 12:05,10,18,Nubosidad Variable,15 - 24,R59,2018-04-14,13:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 12:55,5,17,Nubosidad Variable,06,13,2018-04-14 13:33:40
AVA6176,BOMBARDIER CRJ-1000,2018-04-14,13:55,VALENCIA,VLC,1,Salida prevista a las 14:15,10,18,Nubosidad Variable,1 - 4,R52,2018-04-14,14:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 14:46,5,17,Nubosidad Variable,10,19,2018-04-14 13:33:56
AEA7234,EMBRAER ERJ-195,2018-04-14,12:15,A CORUÑA,LCG,-,El vuelo ha despegado a las 12:04,10,17,Nubosidad Variable, - ,3,2018-04-14,13:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 13:02,5,17,Nubosidad Variable,06,18,2018-04-14 13:33:39
VLG1252,32A,2018-04-14,12:25,ALMERIA,LEI,1,El vuelo ha despegado a las 12:16,8,20,Despejado,19 - 20,3,2018-04-14,13:50,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 13:21,13,17,Lluvia,T1_G,08,2018-04-14 13:33:35
IBE0475,AIRBUS A320,2018-04-14,12:00,ASTURIAS,OVD,1,El vuelo ha despegado a las 11:56,5,18,Nubosidad Variable,1 - 3,8,2018-04-14,13:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 12:52,5,17,Nubosidad Variable,10,10,2018-04-14 13:33:35
AEA4042,ATR-72,2018-04-14,12:15,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 12:14,10,22,Nubosidad Variable,96 - 97,C40,2018-04-14,13:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,Llegada prevista a las 13:41,5,17,Nubosidad Variable,06,15,2018-04-14 13:33:54
VLG3936,AIRBUS A320,2018-04-14,12:20,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 12:20,10,22,Nubosidad Variable,10 - 12,C47,2018-04-14,13:20,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 13:12,11,15,Lluvia Moderada,NT,13,2018-04-14 13:33:55
IBS3943,32A,2018-04-14,11:10,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 10:59,17,22,Despejado,8 - 9,14,2018-04-14,15:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 14:40,5,17,Nubosidad Variable,10,17,2018-04-14 13:33:37
AEA9018,BOEING 737-800 WINGLETS,2018-04-14,07:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 07:51,17,21,Nubes Altas,314 - 318,B04,2018-04-14,10:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 11:31,5,17,Nubosidad Variable,06,13,2018-04-14 13:33:56
IBE8641,BOMBARDIER CRJ-1000,2018-04-14,09:50,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha despegado a las 11:24,5,19,Nubosidad Variable,05 - 06,2,2018-04-14,10:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 12:18,5,17,Nubosidad Variable,10,19,2018-04-14 13:33:57
IBE8595,CANADAIR CRJ-900,2018-04-14,10:35,ALMERIA,LEI,1,El vuelo ha despegado a las 10:27,8,20,Despejado,19 - 21,3,2018-04-14,11:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 11:32,5,17,Nubosidad Variable,10,19,2018-04-14 13:34:01
IBE0423,AIRBUS A319,2018-04-14,10:40,BILBAO,BIO,O,El vuelo ha despegado a las 10:38,10,19,Nubosidad Variable,16 - 18,3,2018-04-14,11:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 11:35,5,17,Nubosidad Variable,10,15,2018-04-14 13:34:05
IBE2233,ATR-72,2018-04-14,11:10,TENERIFE SUR,TFS,T,El vuelo ha despegado a las 11:10,17,22,Despejado,36 - ,26,2018-04-14,11:45,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 11:41,17,21,Nubes Altas,01,12,2018-04-14 13:33:39
AEA7302,EMBRAER ERJ-195,2018-04-14,10:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 10:45,5,17,Nubosidad Variable,505 - 520,E72,2018-04-14,11:50,VIGO,VGO,1,El vuelo ha aterrizado a las 11:57,6,16,Nubosidad Variable,S1,2,2018-04-14 13:33:57
AEA4532,ATR-72,2018-04-14,12:20,MENORCA,MAH,1,El vuelo ha despegado a las 12:14,12,14,Lluvia Moderada,33 - ,1A,2018-04-14,12:55,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 12:54,11,15,Lluvia Moderada,NT,11,2018-04-14 13:33:45
VLG2481,AIRBUS A320,2018-04-14,10:50,LANZAROTE,ACE,1,El vuelo ha despegado a las 10:42,15,22,Nubes Altas,33 - 34,9,2018-04-14,14:45,BARCELONA-EL PRAT,BCN,T1,Llegada prevista a las 14:31,13,17,Lluvia,T1_G,07,2018-04-14 13:33:40
AEA5036,ATR-72,2018-04-14,12:00,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 11:54,11,21,Despejado,342 - 344,D45,2018-04-14,13:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 13:05,5,17,Nubosidad Variable,06,13,2018-04-14 13:33:43
VLG1251,32A,2018-04-14,10:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 10:19,13,17,Lluvia,501 - 514,B47,2018-04-14,11:50,ALMERIA,LEI,1,El vuelo ha aterrizado a las 11:37,8,20,Despejado,1,2,2018-04-14 13:34:01
AEA7506,EMBRAER ERJ-195,2018-04-14,10:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 11:01,11,15,Lluvia Moderada,086 - 091,D90,2018-04-14,12:00,BILBAO,BIO,O,El vuelo ha aterrizado a las 12:14,10,19,Nubosidad Variable,N,3,2018-04-14 13:34:05
AEA2659,BOEING 737-800 WINGLETS,2018-04-14,10:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 10:54,13,17,Lluvia,708 - 709,B56,2018-04-14,12:00,BILBAO,BIO,O,El vuelo ha aterrizado a las 11:54,10,19,Nubosidad Variable,N,4,2018-04-14 13:34:06
IBE0426,AIRBUS A320,2018-04-14,11:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:41,5,17,Nubosidad Variable,810 - 859,J48,2018-04-14,12:35,BILBAO,BIO,O,El vuelo ha aterrizado a las 12:26,10,19,Nubosidad Variable,N,5,2018-04-14 13:34:07
VLG2010,32B,2018-04-14,07:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 10:17,13,17,Lluvia,501 - 514,B36,2018-04-14,08:50,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha aterrizado a las 11:36,5,19,Nubosidad Variable,-, - ,2018-04-14 13:34:10
VLG2020,AIRBUS A320,2018-04-14,10:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 10:38,13,17,Lluvia,501 - 514,B44,2018-04-14,12:00,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha aterrizado a las 11:58,5,19,Nubosidad Variable,2,2,2018-04-14 13:34:11
AEA5201,EMBRAER ERJ-195,2018-04-14,10:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 10:57,11,15,Lluvia Moderada,086 - 091,D84,2018-04-14,12:05,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha aterrizado a las 12:19,5,19,Nubosidad Variable,2,3,2018-04-14 13:34:12
VLG3220,AIRBUS A320,2018-04-14,08:05,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 08:04,13,17,Lluvia,501 - 514,A10,2018-04-14,10:40,TENERIFE SUR,TFS,A,El vuelo ha aterrizado a las 10:31,17,22,Despejado,A,A3,2018-04-14 13:34:13
IBB123,ATR-72,2018-04-14,10:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 10:01,17,21,Nubes Altas,103 - 108,A05,2018-04-14,10:40,TENERIFE SUR,TFS,A,El vuelo ha aterrizado a las 10:45,17,22,Despejado,A,A2,2018-04-14 13:34:14
IBB612,ATR-42/72,2018-04-14,10:00,LA PALMA,SPC,N,El vuelo ha despegado a las 09:58,17,21,Nubes Altas,01 - 02,5,2018-04-14,10:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 10:31,17,22,Despejado,1,2,2018-04-14 13:34:09
IBB650,ATR-42/72,2018-04-14,10:30,LA GOMERA,GMZ,T,El vuelo ha despegado a las 10:32,16,22,Nubes Altas,1 - 1,1,2018-04-14,11:00,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 11:06,17,22,Despejado,1,1,2018-04-14 13:34:09
CNF419,ATR-72,2018-04-14,10:40,LA PALMA,SPC,N,El vuelo ha despegado a las 10:43,17,21,Nubes Altas,07 - 07,5,2018-04-14,11:10,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 11:14,17,22,Despejado,1,2,2018-04-14 13:34:10
IBB610,ATR-42/72,2018-04-14,11:00,LA PALMA,SPC,N,El vuelo ha despegado a las 10:58,17,21,Nubes Altas,01 - 02,6,2018-04-14,11:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 11:29,17,22,Despejado,1,2,2018-04-14 13:34:14
VLG3161,AIRBUS A320,2018-04-14,09:00,LANZAROTE,ACE,1,El vuelo ha despegado a las 08:52,15,22,Nubes Altas,33 - 34,10,2018-04-14,11:55,SEVILLA,SVQ,1,El vuelo ha aterrizado a las 11:48,6,19,Nubes Altas,B,4,2018-04-14 13:34:08
IBS3950,AIRBUS A320,2018-04-14,11:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:30,5,17,Nubosidad Variable,810 - 859,K86,2018-04-14,12:30,SEVILLA,SVQ,1,El vuelo ha aterrizado a las 12:21,6,19,Nubes Altas,A,1,2018-04-14 13:34:09
IBE8678,BOMBARDIER CRJ-1000,2018-04-14,10:00,IBIZA,IBZ,1,El vuelo ha despegado a las 10:17,12,16,Llovizna,60 - 61,07,2018-04-14,11:40,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 11:59,9,15,Nubosidad Variable,B,1,2018-04-14 13:34:19
VLG1641,AIRBUS A320,2018-04-14,08:30,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 08:18,16,22,Nubes Altas,54 - 56,7,2018-04-14,12:05,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 11:55,9,15,Nubosidad Variable,B,2,2018-04-14 13:34:20
AEA4537,ATR-72,2018-04-14,11:10,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 11:11,11,15,Lluvia Moderada,086 - 091,B30,2018-04-14,11:50,MENORCA,MAH,1,El vuelo ha aterrizado a las 11:51,12,14,Lluvia Moderada,1,04,2018-04-14 13:34:19
AEA4024,ATR-72,2018-04-14,10:25,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 10:21,11,15,Lluvia Moderada,086 - 091,B30,2018-04-14,11:40,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 11:30,10,22,Nubosidad Variable,NT1,9B,2018-04-14 13:34:13
EVE1102,32A,2018-04-14,11:00,SEVILLA,SVQ,1,El vuelo ha despegado a las 11:09,6,19,Nubes Altas,M23 - M24,5,2018-04-14,12:00,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 12:10,10,22,Nubosidad Variable,NT1,9B,2018-04-14 13:34:17
IBB468,ATR-42/72,2018-04-14,10:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 10:00,17,22,Despejado,21 - 26,3,2018-04-14,10:50,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 10:56,15,22,Nubes Altas,4,C1,2018-04-14 13:34:19
IBB510,ATR-72,2018-04-14,10:45,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 10:41,17,21,Nubes Altas,103 - 108,A07,2018-04-14,11:30,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 11:21,15,22,Nubes Altas,4,C2,2018-04-14 13:34:24
IBS9517,AIRBUS A320,2018-04-14,10:45,SANTIAGO,SCQ,T,El vuelo ha despegado a las 10:40,9,15,Nubosidad Variable,3 - 8,3,2018-04-14,12:30,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 12:17,11,15,Lluvia Moderada,NT,12,2018-04-14 13:34:44
IBB609,ATR-42/72,2018-04-14,10:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 09:56,17,22,Despejado,21 - 26,4A,2018-04-14,10:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 10:30,17,21,Nubes Altas,LLNT,4,2018-04-14 13:34:24
IBB210,ATR-72,2018-04-14,09:55,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 10:00,17,21,Nubes Altas,103 - 108,A13,2018-04-14,10:40,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 10:36,16,22,Nubes Altas,A,13,2018-04-14 13:34:20
IBS3900,AIRBUS A320,2018-04-14,09:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:01,5,17,Nubosidad Variable,810 - 859,H37,2018-04-14,10:45,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 10:30,16,22,Nubes Altas,A,4,2018-04-14 13:34:22
IBB422,ATR-42/72,2018-04-14,10:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 10:01,17,22,Despejado,21 - 26,2,2018-04-14,10:50,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 10:52,16,22,Nubes Altas,A,13,2018-04-14 13:34:23
CNF809,ATR-72,2018-04-14,10:25,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 10:22,17,21,Nubes Altas,116 - 116,A11,2018-04-14,11:05,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 11:00,16,22,Nubes Altas,A,14,2018-04-14 13:34:26
IBB206,ATR-72,2018-04-14,11:30,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 11:27,17,21,Nubes Altas,103 - 108,A05,2018-04-14,12:10,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 12:08,16,22,Nubes Altas,A,14,2018-04-14 13:34:38
RYR5468,BOEING 737-800 WINGLETS,2018-04-14,10:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 10:30,5,17,Nubosidad Variable,357 - 360,C45,2018-04-14,12:25,FUERTEVENTURA,FUE,1,El vuelo ha aterrizado a las 12:05,16,22,Nubes Altas,A,3,2018-04-14 13:34:41
IBB507,ATR-42/72,2018-04-14,10:00,LANZAROTE,ACE,2,El vuelo ha despegado a las 10:01,15,22,Nubes Altas,M3 - M4,P1,2018-04-14,10:45,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 10:39,17,21,Nubes Altas,01,11,2018-04-14 13:34:23
AEA9416,ATR-72,2018-04-14,10:15,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 10:31,17,22,Despejado,14 - 14,4,2018-04-14,10:45,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 11:11,17,21,Nubes Altas,01,13,2018-04-14 13:34:24
IBB209,ATR-72,2018-04-14,10:20,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 10:15,16,22,Nubes Altas,36 - 37,4,2018-04-14,11:00,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 10:55,17,21,Nubes Altas,01,12,2018-04-14 13:34:26
CNF804,ATR-72,2018-04-14,10:10,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 10:04,16,22,Nubes Altas,39 - 39,16,2018-04-14,11:00,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 10:44,17,21,Nubes Altas,01,13,2018-04-14 13:34:28
RYR2035,BOEING 737-800 WINGLETS,2018-04-14,11:10,SEVILLA,SVQ,1,El vuelo ha despegado a las 11:35,6,19,Nubes Altas,M14 - M15,10,2018-04-14,12:25,VITORIA,VIT,H,El vuelo ha aterrizado a las 12:50,5,17,Abertura De Claros,-,2,2018-04-14 14:35:02
AEA7315,EMBRAER ERJ-195,2018-04-14,12:30,VIGO,VGO,1,El vuelo ha despegado a las 12:31,6,16,Nubosidad Variable,01 - 03,5,2018-04-14,13:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha aterrizado a las 13:31,5,17,Nubosidad Variable,06,17,2018-04-14 14:34:56
RYR6385,BOEING 737-800 WINGLETS,2018-04-14,13:10,SANTANDER-SEVE BALLESTEROS,SDR,N,El vuelo ha despegado a las 13:14,9,16,Despejado,1 - 2,5,2018-04-14,14:25,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha aterrizado a las 14:18,13,17,Lluvia,B,26,2018-04-14 14:34:54
IBE0513,AIRBUS A320,2018-04-14,13:35,A CORUÑA,LCG,-,El vuelo ha despegado a las 13:38,10,17,Nubosidad Variable, - ,3,2018-04-14,14:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Llegada prevista a las 14:46,5,17,Nubosidad Variable,10,16,2018-04-14 14:34:56
IBE8316,ATR-72,2018-04-14,11:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:47,5,17,Nubosidad Variable,810 - 859,K92,2018-04-14,13:00,SAN SEBASTIAN,EAS,1,El vuelo ha aterrizado a las 13:05,8,16,Nubosidad Variable,LLEG,1,2018-04-14 14:35:05
IBE8268,ATR-72,2018-04-14,12:05,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha despegado a las 12:10,11,21,Despejado,303 - 304,D65,2018-04-14,12:55,MELILLA,MLN,T,El vuelo ha aterrizado a las 13:02,12,19,Despejado,SLL,2,2018-04-14 14:35:06
IBE0447,AIRBUS A320,2018-04-14,13:20,BILBAO,BIO,O,El vuelo ha despegado a las 13:18,10,19,Nubosidad Variable,16 - 18,1,2018-04-14,14:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 14:23,5,17,Nubosidad Variable,10,14,2018-04-14 14:34:57
IBS3919,32A,2018-04-14,13:20,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 13:19,11,15,Lluvia Moderada,054 - 055,D88,2018-04-14,14:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado,5,17,Nubosidad Variable,10,13,2018-04-14 14:35:20
IBE0512,AIRBUS A320,2018-04-14,11:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:45,5,17,Nubosidad Variable,810 - 859,K91,2018-04-14,12:55,A CORUÑA,LCG,-,El vuelo ha aterrizado a las 12:55,10,17,Nubosidad Variable,S1,2,2018-04-14 14:35:14
IBE0532,AIRBUS A319,2018-04-14,11:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:41,5,17,Nubosidad Variable,810 - 859,H16,2018-04-14,12:50,VIGO,VGO,1,El vuelo ha aterrizado a las 12:45,6,16,Nubosidad Variable,S1,2,2018-04-14 14:35:08
CNF721,ATR-72,2018-04-14,11:25,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 11:21,17,21,Nubes Altas,116 - 116,A11,2018-04-14,12:15,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 12:15,15,22,Nubes Altas,4,C2,2018-04-14 14:35:02
VLG2614,32A,2018-04-14,11:10,BILBAO,BIO,O,El vuelo ha despegado a las 11:11,10,19,Nubosidad Variable,10 - 13,1,2018-04-14,12:40,JEREZ DE LA FRONTERA,XRY,T,El vuelo ha aterrizado a las 12:32,7,20,Nubosidad Variable,1A,2,2018-04-14 14:35:12
IBE8598,CANADAIR CRJ-200,2018-04-14,12:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 12:07,5,17,Nubosidad Variable,810 - 859,K80,2018-04-14,13:15,ALMERIA,LEI,1,El vuelo ha aterrizado a las 12:57,8,20,Despejado,1,1,2018-04-14 14:35:15
RYR6384,BOEING 737-800 WINGLETS,2018-04-14,11:15,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 11:17,13,17,Lluvia,B65 - B71,R10,2018-04-14,12:45,SANTANDER-SEVE BALLESTEROS,SDR,N,El vuelo ha aterrizado a las 12:33,9,16,Despejado,01,1,2018-04-14 14:35:13
IBE0554,AIRBUS A319,2018-04-14,11:55,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:54,5,17,Nubosidad Variable,810 - 859,K69,2018-04-14,13:05,SANTANDER-SEVE BALLESTEROS,SDR,N,El vuelo ha aterrizado a las 12:51,9,16,Despejado,01,2,2018-04-14 14:35:16
VLG2509,AIRBUS A320,2018-04-14,11:30,SEVILLA,SVQ,1,El vuelo ha despegado a las 11:30,6,19,Nubes Altas,M26 - M33,8,2018-04-14,12:50,BILBAO,BIO,O,El vuelo ha aterrizado a las 12:42,10,19,Nubosidad Variable,N,4,2018-04-14 14:35:17
VLG3281,AIRBUS A320,2018-04-14,09:30,LANZAROTE,ACE,1,El vuelo ha despegado a las 09:27,15,22,Nubes Altas,35 - 36,9,2018-04-14,13:15,BILBAO,BIO,O,El vuelo ha aterrizado a las 13:19,10,19,Nubosidad Variable,N,5,2018-04-14 14:35:21
LAV5547,BOEING 737-400,2018-04-14,09:25,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 09:10,17,22,Despejado,1 - 2,12,2018-04-14,13:40,BILBAO,BIO,O,El vuelo ha aterrizado a las 13:24,10,19,Nubosidad Variable,N,4,2018-04-14 14:35:25
AEA6013,BOEING 737-800 WINGLETS,2018-04-14,10:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 11:57,5,17,Nubosidad Variable,505 - 520,E83,2018-04-14,11:35,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 13:12,11,15,Lluvia Moderada,NT,11,2018-04-14 14:35:29
AEA6037,BOEING 737-800 WINGLETS,2018-04-14,11:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 12:01,13,17,Lluvia,708 - 709,B44,2018-04-14,12:40,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 12:51,11,15,Lluvia Moderada,NT,13,2018-04-14 14:35:37
IBS3914,32A,2018-04-14,11:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:22,5,17,Nubosidad Variable,810 - 859,K74,2018-04-14,12:45,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 12:34,11,15,Lluvia Moderada,NT,15,2018-04-14 14:35:39
IBE8646,BOMBARDIER CRJ-1000,2018-04-14,12:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 12:21,5,17,Nubosidad Variable,810 - 859,K89,2018-04-14,13:20,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha aterrizado a las 13:22,5,19,Nubosidad Variable,2,2,2018-04-14 14:35:25
RYR7216,BOEING 737-800 WINGLETS,2018-04-14,12:10,VALENCIA,VLC,1,El vuelo ha despegado a las 12:10,10,18,Nubosidad Variable,35 - 36,C11,2018-04-14,12:55,IBIZA,IBZ,1,El vuelo ha aterrizado a las 12:53,12,16,Llovizna,02,02,2018-04-14 14:35:31
VLG2011,32B,2018-04-14,09:30,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha despegado a las 12:15,5,19,Nubosidad Variable,07 - 08,2,2018-04-14,10:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 13:29,13,17,Lluvia,T1_G,08,2018-04-14 14:35:19
IBE8441,ATR-72,2018-04-14,12:10,IBIZA,IBZ,1,El vuelo ha despegado a las 12:06,12,16,Llovizna,60 - 62,01,2018-04-14,13:05,VALENCIA,VLC,1,El vuelo ha aterrizado a las 12:42,10,18,Nubosidad Variable,1,1,2018-04-14 14:35:27
IBE8812,BOMBARDIER CRJ-1000,2018-04-14,11:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 11:41,5,17,Nubosidad Variable,810 - 859,K94,2018-04-14,12:50,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 12:52,11,21,Despejado,3,36,2018-04-14 14:35:37
IBE8263,ATR-72,2018-04-14,12:20,MELILLA,MLN,T,El vuelo ha despegado a las 12:15,12,19,Despejado,5 - 6,2,2018-04-14,13:10,MALAGA-COSTA DEL SOL,AGP,T,El vuelo ha aterrizado a las 12:53,11,21,Despejado,T3,31,2018-04-14 14:35:42
RYR6386,BOEING 737-800 WINGLETS,2018-04-14,11:25,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 11:47,13,17,Lluvia,B65 - B71,U41,2018-04-14,13:15,MALAGA-COSTA DEL SOL,AGP,3,El vuelo ha aterrizado a las 13:23,11,21,Despejado,3,40,2018-04-14 14:35:44
IBB109,ATR-72,2018-04-14,11:00,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 11:07,17,21,Nubes Altas,103 - 108,A13,2018-04-14,11:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 11:38,17,22,Despejado,1,1,2018-04-14 14:35:25
AEA9401,ATR-72,2018-04-14,11:10,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 11:38,17,21,Nubes Altas,111 - 112,A07,2018-04-14,11:40,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 12:12,17,22,Despejado,1,3,2018-04-14 14:35:26
IBB660,ATR-42/72,2018-04-14,11:20,EL HIERRO,VDE,-,El vuelo ha despegado a las 11:20,12,20,Despejado, - ,02,2018-04-14,12:00,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 11:55,17,22,Despejado,1,1,2018-04-14 14:35:27
IBB423,ATR-42/72,2018-04-14,11:20,FUERTEVENTURA,FUE,1,El vuelo ha despegado a las 11:18,16,22,Nubes Altas,36 - 37,4,2018-04-14,12:10,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 12:05,17,22,Despejado,1,3,2018-04-14 14:35:28
