flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp
IBE8261,ATR-72,2018-04-16,08:00,MELILLA,MLN,T,Salida prevista a las 08:00,14,19,Despejado,5 - 6,2,2018-04-16,08:50,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 08:50,14,23,Despejado,T3,31,2018-04-15 18:48:16
IBE8789,ATR-72,2018-04-16,08:25,MELILLA,MLN,T,Salida prevista a las 08:25,14,19,Despejado,5 - 6,3,2018-04-16,10:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 10:10,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:19
AEA5002,ATR-72,2018-04-16,10:35,MELILLA,MLN,T,Salida prevista a las 10:35,14,19,Despejado,1 - 2,2,2018-04-16,11:25,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 11:25,14,23,Despejado,T3,31,2018-04-15 18:48:20
IBE8263,ATR-72,2018-04-16,12:20,MELILLA,MLN,T,Salida prevista a las 12:20,14,19,Despejado,5 - 6,3,2018-04-16,13:10,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 13:10,14,23,Despejado,T3,31,2018-04-15 18:48:21
IBE8791,ATR-72,2018-04-16,13:05,MELILLA,MLN,T,Salida prevista a las 13:05,14,19,Despejado,5 - 6,2,2018-04-16,14:50,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 14:50,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:22
IBE8269,ATR-72,2018-04-16,15:05,MELILLA,MLN,T,Salida prevista a las 15:05,14,19,Despejado,5 - 6,2,2018-04-16,15:55,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 15:55,14,23,Despejado,T3,31,2018-04-15 18:48:30
IBE8793,ATR-72,2018-04-16,17:35,MELILLA,MLN,T,Salida prevista a las 17:35,14,19,Despejado,5 - 6,2,2018-04-16,19:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 19:20,7,17,Abertura De Claros,-, - ,2018-04-15 18:48:32
IBE8271,ATR-72,2018-04-16,17:50,MELILLA,MLN,T,Salida prevista a las 17:50,14,19,Despejado,5 - 6,1,2018-04-16,18:40,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 18:40,14,23,Despejado,T3,31,2018-04-15 18:48:36
AEA5004,ATR-72,2018-04-16,18:10,MELILLA,MLN,T,Salida prevista a las 18:10,14,19,Despejado,1 - 2,3,2018-04-16,19:00,MALAGA-COSTA DEL SOL,AGP,T,Llegada prevista a las 19:00,14,23,Despejado,T3,32,2018-04-15 18:48:37
IBE8322,ATR-72,2018-04-15,15:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 16:54,7,17,Abertura De Claros,810 - 859,K81,2018-04-15,16:40,SAN SEBASTIAN,EAS,1,El vuelo ha aterrizado a las 18:08,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:30
IBE8318,ATR-72,2018-04-15,16:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 16:30,7,17,Abertura De Claros,810 - 819,K64,2018-04-15,17:35,SAN SEBASTIAN,EAS,1,El vuelo ha aterrizado a las 17:36,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:32
IBE8326,ATR-72,2018-04-15,19:35,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 19:35,7,17,Abertura De Claros,810 - 819,K94,2018-04-15,20:50,SAN SEBASTIAN,EAS,1,Llegada prevista a las 20:50,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:34
IBE8324,ATR-72,2018-04-15,20:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,Salida prevista a las 20:05,7,17,Abertura De Claros,810 - 819, - ,2018-04-15,21:20,SAN SEBASTIAN,EAS,1,Llegada prevista a las 21:20,12,18,Chubascos Dispersos,LLEG,1,2018-04-15 18:48:36
